KID,SPUD,COMPLETION,vintage_year
1031939239,2005-01-19,2005-02-10,2005.0
1031939245,2005-01-10,2005-02-02,2005.0
1031994710,1986-08-05,1992-12-20,1992.0
1031996727,2005-02-21,2005-03-31,2005.0
1031996731,2005-02-18,2005-03-30,2005.0
1031996733,2005-04-07,2005-04-09,2005.0
1031997267,2005-01-24,2005-02-01,2005.0
1031997269,2005-01-26,2005-02-08,2005.0
1031997283,2005-02-04,2005-02-24,2005.0
1031997285,2005-02-03,2005-02-11,2005.0
1032443331,2005-04-26,2005-05-03,2005.0
1032443333,2005-03-01,2005-03-04,2005.0
1032443337,2005-03-09,2005-03-11,2005.0
1032491016,2005-05-02,2005-05-06,2005.0
1032491018,2005-04-20,2005-04-27,2005.0
1032491532,2005-04-11,2005-04-14,2005.0
1032577006,2005-05-27,2005-06-02,2005.0
1032577010,2005-06-20,2005-06-23,2005.0
1032577020,2005-05-17,2005-05-18,2005.0
1032577110,,,
1032644102,,,
1032644152,2005-07-12,2005-07-15,2005.0
1032644216,2005-06-03,2005-06-07,2005.0
1033431241,2005-12-22,2005-12-28,2005.0
1033431259,2005-08-23,2005-11-15,2005.0
1033431321,2005-08-09,2005-08-19,2005.0
1033431327,2005-08-30,2005-09-02,2005.0
1033431331,2005-08-19,2005-08-24,2005.0
1033431973,2005-09-04,2005-09-28,2005.0
1033440302,2005-09-21,2005-10-12,2005.0
1033660379,2006-02-24,2006-03-03,2006.0
1033662167,2005-10-19,2005-11-02,2005.0
1033707550,2005-10-08,2005-10-18,2005.0
1033707638,2005-11-23,2005-12-05,2005.0
1033707654,2005-12-02,2005-12-13,2005.0
1033707658,2005-12-06,2005-12-14,2005.0
1033707668,2005-11-23,2005-12-08,2005.0
1033707678,2005-11-22,2005-12-02,2005.0
1033707950,2005-11-03,2005-11-11,2005.0
1033763953,2005-12-20,2005-12-29,2005.0
1033763965,2005-11-08,2005-11-09,2005.0
1033763973,2005-12-16,2005-12-22,2005.0
1033763981,2005-12-16,2005-12-27,2005.0
1033764209,2005-12-21,2005-12-31,2005.0
1033764211,2006-03-14,2006-03-23,2006.0
1033764215,2006-01-22,2006-02-01,2006.0
1033764233,2006-03-15,2006-03-24,2006.0
1033764241,2005-12-30,2006-01-11,2006.0
1033764257,2005-12-26,2006-01-06,2006.0
1033764259,2005-12-27,2006-01-06,2006.0
1033764263,2005-12-27,2006-01-25,2006.0
1033764267,2005-12-22,2006-01-03,2006.0
1033764281,2005-12-23,2006-01-05,2006.0
1033764283,2005-12-21,2006-01-03,2006.0
1033764755,2006-01-02,2006-01-18,2006.0
1033828150,2006-02-17,2006-02-24,2006.0
1033828154,2006-01-27,2006-02-07,2006.0
1033828156,2006-02-20,2006-02-27,2006.0
1033828164,2006-02-23,2006-03-16,2006.0
1033828190,2006-02-08,2006-02-16,2006.0
1033828192,2006-01-16,2006-01-21,2006.0
1033828194,2006-01-16,2006-01-20,2006.0
1033828198,2006-01-18,2006-01-24,2006.0
1033828216,2006-01-19,2006-01-25,2006.0
1033828220,2006-01-19,2006-02-02,2006.0
1033828228,2006-01-17,2006-01-24,2006.0
1033931086,2006-01-20,2006-03-21,2006.0
1033931114,1974-09-14,1974-09-18,1974.0
1033931946,2006-02-01,2006-02-09,2006.0
1033931958,2006-01-23,2006-01-31,2006.0
1033931976,2006-01-31,2006-02-06,2006.0
1033931980,2006-02-15,2006-02-22,2006.0
1033931984,2006-02-16,2006-02-25,2006.0
1033931994,2006-02-07,2006-02-15,2006.0
1033931998,2006-02-23,2006-03-06,2006.0
1033932012,2006-03-02,2006-03-11,2006.0
1033932034,2006-03-01,2006-03-09,2006.0
1033932432,2006-02-21,2006-03-02,2006.0
1033932436,2006-02-14,2006-02-21,2006.0
1033932438,2006-02-18,2006-03-02,2006.0
1033972452,2006-02-28,2006-04-03,2006.0
1033972588,2006-04-16,2006-04-21,2006.0
1033973160,2006-05-25,2006-06-07,2006.0
1033973506,,,
1033973652,2006-03-01,2006-03-08,2006.0
1033973676,2006-07-28,2006-07-31,2006.0
1033973678,2006-02-15,2006-03-01,2006.0
1033973692,2006-02-16,2006-02-23,2006.0
1033973700,2006-03-16,2006-04-08,2006.0
1033973726,2006-03-17,2006-03-31,2006.0
1033973730,2006-03-13,2006-03-23,2006.0
1033973736,2006-03-15,2006-03-23,2006.0
1033973742,2006-03-09,2006-03-23,2006.0
1033974326,2006-04-05,2006-04-06,2006.0
1033974332,2006-04-11,2006-07-14,2006.0
1034468694,2006-06-07,2006-06-12,2006.0
1034468700,2006-06-09,2006-06-16,2006.0
1034468712,2006-04-14,2006-06-01,2006.0
1034468974,2006-04-22,2006-05-02,2006.0
1034469796,2006-06-19,2006-06-21,2006.0
1034469802,2006-05-22,2006-07-05,2006.0
1034469886,,,
1034470402,2006-03-10,2006-03-24,2006.0
1034470406,2006-03-10,2006-03-16,2006.0
1034470418,2006-03-24,2006-03-31,2006.0
1034470420,2006-03-21,2006-03-28,2006.0
1034470422,2006-04-04,2006-04-17,2006.0
1034470930,2006-05-16,2006-05-24,2006.0
1034470958,2006-04-18,2006-04-25,2006.0
1034470968,2006-05-16,2006-05-25,2006.0
1034470992,2006-04-17,2006-04-25,2006.0
1034470994,2006-04-14,2006-04-19,2006.0
1034571582,2006-06-14,2006-06-20,2006.0
1034572170,2006-05-22,2006-06-12,2006.0
1034572172,2006-05-19,2006-06-01,2006.0
1034572178,2006-05-16,2006-06-05,2006.0
1034572186,2006-05-22,2006-06-01,2006.0
1034572214,2006-05-12,2006-05-24,2006.0
1034869491,2006-08-31,2006-09-07,2006.0
1034869515,2006-06-29,2006-07-10,2006.0
1034869517,2006-06-21,2006-06-29,2006.0
1034869519,2006-06-22,2006-06-30,2006.0
1034869557,2006-05-24,2006-06-30,2006.0
1034870948,2006-05-12,2006-05-23,2006.0
1034871010,2006-05-23,2006-05-31,2006.0
1034871098,2006-12-30,2007-01-10,2007.0
1034871108,2007-01-03,2007-01-06,2007.0
1034968125,2006-07-08,2006-07-17,2006.0
1034968135,2006-08-01,2006-08-07,2006.0
1034968137,2006-07-05,2006-07-10,2006.0
1034968139,2006-07-17,2006-07-24,2006.0
1034968147,2006-07-21,2006-07-31,2006.0
1034968151,2006-07-21,2006-07-31,2006.0
1034968155,2006-08-21,2006-09-07,2006.0
1034970104,2006-11-14,2006-11-17,2006.0
1034970180,2006-10-09,2007-08-20,2007.0
1034970216,2006-07-17,2006-08-02,2006.0
1034970218,2006-07-17,2006-07-27,2006.0
1034970236,2006-07-08,2006-07-21,2006.0
1034970752,2006-08-04,2006-08-09,2006.0
1035118297,2006-08-21,2006-08-28,2006.0
1035118933,2006-07-21,2006-07-24,2006.0
1035118961,2006-08-07,2006-08-14,2006.0
1035118971,2006-09-05,2006-09-18,2006.0
1035119313,2006-07-18,2006-07-26,2006.0
1035119341,2006-07-31,2006-08-07,2006.0
1035119787,2006-07-25,2006-08-03,2006.0
1035119797,2006-07-18,2006-07-26,2006.0
1035119799,2006-07-27,2006-08-04,2006.0
1035119893,2007-01-02,2007-01-05,2007.0
1035120149,,,
1035941119,2006-11-09,2006-11-13,2006.0
1035941145,2006-09-19,2006-09-22,2006.0
1035941147,2006-09-19,2006-09-25,2006.0
1035941149,2006-08-18,2006-09-07,2006.0
1035941155,2006-09-12,2006-11-15,2006.0
1035941163,2006-10-01,2006-12-14,2006.0
1035942139,2006-11-06,2006-11-09,2006.0
1035942151,2006-09-14,2006-09-19,2006.0
1035942159,2006-09-09,2006-09-14,2006.0
1035942169,2006-09-10,2006-09-15,2006.0
1035942861,2006-09-28,2006-10-02,2006.0
1035942871,2006-09-09,2006-09-23,2006.0
1035942877,2006-09-25,2006-11-03,2006.0
1035942901,2006-09-11,2006-09-20,2006.0
1035942903,2006-09-14,2006-09-18,2006.0
1036039993,2006-09-22,2006-10-03,2006.0
1036040099,2007-05-23,2007-05-25,2007.0
1036040103,2007-06-08,2007-06-12,2007.0
1036040105,2007-05-18,2007-05-22,2007.0
1036040113,2007-04-23,2007-07-26,2007.0
1036040119,2007-04-17,2007-04-20,2007.0
1036040843,2006-10-12,2006-10-17,2006.0
1036040845,2006-10-12,2006-10-18,2006.0
1036041597,2006-10-03,2006-10-06,2006.0
1036041961,2006-09-24,2006-10-02,2006.0
1036125189,2006-10-15,2006-10-18,2006.0
1036125429,2007-08-27,2008-12-11,2008.0
1036125431,2007-09-10,2007-09-13,2007.0
1036126327,2006-10-16,2006-10-18,2006.0
1036127211,2006-11-14,2006-11-16,2006.0
1036127237,2006-10-26,2006-11-06,2006.0
1036145374,2006-12-12,2006-12-15,2006.0
1036145375,2006-12-11,2006-12-13,2006.0
1036145538,2006-12-18,2006-12-22,2006.0
1036145539,2006-12-21,2006-12-29,2006.0
1036146333,2006-12-28,2007-01-10,2007.0
1036146591,2006-11-29,2006-12-05,2006.0
1036146604,2006-11-17,2006-11-28,2006.0
1036146639,2006-11-20,2006-11-25,2006.0
1036146757,2006-12-29,2007-01-09,2007.0
1036146792,2006-11-17,2006-11-22,2006.0
1036146808,2006-11-17,2006-11-25,2006.0
1036146816,2006-11-17,2006-11-22,2006.0
1036179213,2006-11-28,2006-12-07,2006.0
1036179238,2006-11-27,2006-12-06,2006.0
1036179248,2006-11-28,2006-12-08,2006.0
1036180152,2007-01-11,2007-01-23,2007.0
1036239712,2006-12-13,2006-12-18,2006.0
1036239714,2006-12-12,2006-12-14,2006.0
1036239725,2006-12-15,2006-12-18,2006.0
1036239741,2007-01-09,2007-01-24,2007.0
1036239756,2007-01-11,2007-02-08,2007.0
1036239758,2006-12-15,2006-12-21,2006.0
1036240268,2006-12-22,2006-12-28,2006.0
1036244343,2006-12-29,2007-06-12,2007.0
1036244348,2006-12-28,2007-06-11,2007.0
1036282531,2007-01-31,2007-03-09,2007.0
1036282678,2007-02-17,2007-02-20,2007.0
1036282721,2007-02-17,2007-02-20,2007.0
1036282722,2007-01-29,2007-02-01,2007.0
1036282746,2007-02-08,2007-02-19,2007.0
1036283201,2007-01-23,2007-01-25,2007.0
1036283242,2007-01-26,2007-02-28,2007.0
1036283244,2007-02-17,2007-02-20,2007.0
1036284422,2007-01-23,2007-01-26,2007.0
1036285194,2007-02-07,2007-02-09,2007.0
1036344623,2007-03-15,2007-03-27,2007.0
1036436132,2007-02-09,2007-02-27,2007.0
1036436135,2007-03-19,2007-03-24,2007.0
1036441996,,,
1036441999,,,
1036442013,,,
1036442020,,,
1036442036,,,
1036442574,2007-03-10,2007-03-20,2007.0
1036442578,2007-03-02,2007-03-06,2007.0
1036442584,2007-03-10,2007-03-16,2007.0
1036442588,2007-04-09,2007-04-22,2007.0
1036442593,2007-03-08,2007-03-12,2007.0
1036443559,2007-03-09,2007-03-19,2007.0
1036443797,2007-03-16,2007-07-20,2007.0
1036445288,2007-06-03,2007-06-05,2007.0
1036445815,2007-05-22,2007-05-29,2007.0
1036445842,2007-05-22,2007-05-30,2007.0
1036445890,2007-03-06,2007-03-09,2007.0
1036445912,2007-04-23,2007-05-05,2007.0
1036490939,2007-05-22,2007-05-29,2007.0
1036548512,2007-03-22,2007-04-23,2007.0
1036550045,2007-04-03,2007-04-06,2007.0
1036550080,2007-04-11,2007-04-17,2007.0
1036550084,2007-04-11,2007-04-16,2007.0
1036550788,2007-04-16,2007-04-20,2007.0
1036555254,2007-04-18,2007-05-29,2007.0
1036555957,2007-04-27,2008-10-05,2008.0
1036555958,2007-05-08,2007-05-11,2007.0
1036555965,2007-05-04,2007-05-09,2007.0
1036555968,2007-04-03,2007-04-09,2007.0
1036557301,2007-07-27,2007-08-07,2007.0
1036649712,2007-04-20,2007-04-27,2007.0
1036762194,2007-09-07,2007-09-21,2007.0
1036762229,2007-04-19,2007-04-27,2007.0
1036762505,2007-04-23,2007-05-01,2007.0
1036762738,2007-05-16,2007-05-17,2007.0
1036763628,,,
1036763959,2007-04-27,2007-04-30,2007.0
1036774163,2007-07-19,2007-07-26,2007.0
1036863431,2007-07-13,2007-07-24,2007.0
1036863432,2007-05-04,2007-05-09,2007.0
1036871891,,,
1036872632,2007-05-11,2007-05-24,2007.0
1036873746,2007-05-17,2007-05-23,2007.0
1036873919,2007-05-25,2007-05-29,2007.0
1036873925,2007-05-15,2007-05-16,2007.0
1036873976,2007-05-24,2007-05-25,2007.0
1036874328,,,
1036876115,2007-08-13,2007-08-16,2007.0
1036876829,2007-05-30,2007-06-04,2007.0
1036876836,2007-05-30,2007-05-31,2007.0
1036876846,2007-05-30,2007-06-04,2007.0
1036878914,2007-07-26,2007-07-27,2007.0
1036878926,2007-07-20,2007-07-23,2007.0
1036878930,2007-07-18,2007-07-19,2007.0
1036879357,2007-06-09,2007-06-20,2007.0
1036916930,2007-06-15,2007-06-23,2007.0
1036917206,2007-08-21,2008-03-04,2008.0
1036917229,2007-08-20,2007-08-21,2007.0
1036917238,2007-06-12,2007-06-14,2007.0
1036918955,2007-06-14,2007-06-18,2007.0
1036976156,2007-06-14,2007-06-16,2007.0
1036977158,2007-09-13,2007-09-17,2007.0
1037024950,2007-06-21,2007-06-25,2007.0
1037024957,2007-07-05,2007-07-07,2007.0
1037024969,2007-09-14,2007-09-28,2007.0
1037024983,2007-06-26,2007-07-14,2007.0
1037026385,2007-07-19,2007-08-03,2007.0
1037026401,2007-08-22,2007-08-27,2007.0
1037026417,2007-07-07,2007-07-11,2007.0
1037029525,2007-07-30,2007-08-02,2007.0
1037029533,2007-09-21,2007-10-03,2007.0
1037029535,2007-08-03,2007-08-04,2007.0
1037029537,2007-09-27,2007-10-16,2007.0
1037030471,2007-08-03,2007-08-10,2007.0
1037034017,2007-07-19,2007-07-30,2007.0
1037034039,2007-07-19,2007-07-23,2007.0
1037036090,2007-08-03,2007-10-29,2007.0
1037036095,2007-08-03,2007-10-29,2007.0
1037036108,2007-08-06,2007-08-13,2007.0
1037036118,2007-10-30,2007-11-02,2007.0
1037036125,2007-08-01,2007-08-06,2007.0
1037036131,2007-08-14,2007-08-20,2007.0
1037036133,2007-08-13,2007-08-16,2007.0
1037036932,2007-09-07,2007-09-11,2007.0
1037036958,2007-08-06,2007-08-14,2007.0
1037036959,2007-09-05,2007-09-18,2007.0
1037037897,2007-09-07,2007-09-12,2007.0
1037037988,2007-08-02,2007-08-09,2007.0
1037037992,2007-08-10,2007-08-14,2007.0
1037038737,2007-09-10,2007-09-27,2007.0
1037038833,2007-10-02,2007-10-08,2007.0
1037038850,2007-10-02,2007-10-30,2007.0
1037038854,2007-08-28,2007-08-31,2007.0
1037039102,2007-08-21,2007-08-23,2007.0
1037039120,2007-08-31,2007-09-06,2007.0
1037039896,2007-08-16,2007-08-20,2007.0
1037039914,2007-08-30,2007-09-05,2007.0
1037041623,2007-09-04,2007-09-07,2007.0
1037042862,2007-09-13,2007-09-17,2007.0
1037042865,2007-09-09,2007-09-13,2007.0
1037043238,2007-08-30,2007-09-05,2007.0
1037043557,2007-09-26,2007-09-27,2007.0
1037233618,2007-09-17,2007-10-03,2007.0
1037233622,2007-09-11,2007-09-14,2007.0
1037233633,2007-09-12,2007-09-27,2007.0
1037234007,2007-10-02,2008-12-12,2008.0
1037234236,2007-10-01,2007-10-24,2007.0
1037235865,2007-09-29,2007-10-09,2007.0
1037235886,2008-01-23,2008-01-26,2008.0
1037236130,2007-10-04,2007-10-16,2007.0
1037237202,2007-09-29,2007-10-03,2007.0
1037238142,2007-12-14,2008-01-02,2008.0
1037238162,2007-10-23,2007-12-20,2007.0
1037238171,2007-12-15,2008-01-03,2008.0
1037238180,,,
1037238192,2007-10-12,2007-10-19,2007.0
1037335277,1976-02-25,1976-04-01,1976.0
1037338452,2008-01-29,2008-02-07,2008.0
1037338453,2008-01-28,2008-02-08,2008.0
1037338500,2008-01-28,2008-02-18,2008.0
1037338522,2008-02-19,2008-02-25,2008.0
1037338524,2007-11-06,2007-11-07,2007.0
1037338539,2007-11-09,2008-01-05,2008.0
1037338559,2007-11-28,2007-12-29,2007.0
1037341482,2007-10-25,2007-11-11,2007.0
1037341518,2007-10-19,2007-12-21,2007.0
1037341522,2007-11-13,2007-11-16,2007.0
1037341587,2007-11-26,2007-12-05,2007.0
1037341593,2007-11-14,2007-11-19,2007.0
1037341682,2007-11-13,2007-11-17,2007.0
1037343690,2007-12-19,2007-12-26,2007.0
1037345146,2007-12-02,2008-01-21,2008.0
1037346699,2007-11-08,2007-11-12,2007.0
1037349107,2007-11-16,2007-11-26,2007.0
1037349249,2007-11-20,2007-11-30,2007.0
1037351496,2008-02-15,2008-03-12,2008.0
1037352798,2007-11-29,2007-11-30,2007.0
1037352824,,,
1037352859,2007-11-26,2007-12-05,2007.0
1037352901,2007-11-28,2008-10-08,2008.0
1037449719,2007-12-05,2007-12-14,2007.0
1037449774,1946-08-30,1946-10-01,1946.0
1037449854,2008-04-23,2008-05-01,2008.0
1037449922,2008-01-08,2008-01-15,2008.0
1037449966,1935-10-08,1935-12-30,1935.0
1037550888,2008-01-24,2008-01-30,2008.0
1037550933,2008-02-25,2008-02-29,2008.0
1037550959,2008-01-25,2008-01-30,2008.0
1037551031,2008-01-25,2008-02-01,2008.0
1037551111,2008-08-11,2008-08-14,2008.0
1037551117,2008-01-09,2008-04-21,2008.0
1037551137,2008-01-09,2008-02-15,2008.0
1037553214,2008-02-15,2008-02-25,2008.0
1037553385,2008-02-15,2008-02-22,2008.0
1037553394,2007-12-21,2007-12-28,2007.0
1037553418,2008-04-01,2008-04-11,2008.0
1037553433,2008-07-17,2008-07-23,2008.0
1037554884,,,
1037554905,2008-02-15,2008-02-22,2008.0
1037554944,2008-01-02,2008-01-07,2008.0
1037555081,2008-07-25,2008-07-31,2008.0
1037555528,2008-01-10,2008-01-21,2008.0
1037555554,2007-12-31,2008-01-07,2008.0
1037555561,2008-01-11,2008-01-21,2008.0
1037555604,2008-01-25,2008-02-14,2008.0
1037555687,2008-01-16,2008-01-22,2008.0
1037555695,2008-01-16,2008-01-22,2008.0
1037555702,2008-01-05,2008-01-10,2008.0
1037648759,2008-02-15,2008-02-26,2008.0
1037650007,2008-02-28,2008-03-01,2008.0
1037779131,2008-02-11,2008-03-24,2008.0
1037779173,2008-01-27,2008-02-08,2008.0
1037779180,2008-02-04,2008-03-24,2008.0
1037779232,2008-02-13,2008-03-24,2008.0
1037779285,2008-03-05,2008-03-13,2008.0
1037791892,2008-03-21,2008-04-01,2008.0
1037791910,2008-03-31,2008-04-04,2008.0
1037792007,2008-03-19,2008-03-25,2008.0
1037792054,2008-03-31,2008-04-03,2008.0
1037792125,2008-03-31,2008-04-04,2008.0
1037891095,2008-04-01,2008-04-08,2008.0
1037891219,2008-05-06,2008-05-20,2008.0
1037893312,2008-04-16,2008-04-21,2008.0
1037893336,2008-04-11,2008-05-12,2008.0
1037893417,2008-04-17,2008-04-22,2008.0
1037893505,2008-04-06,2008-04-09,2008.0
1037987645,2008-07-01,2008-07-14,2008.0
1037987661,2008-07-16,2008-07-21,2008.0
